model,bin,n,mean_probability,observed_rate,probability_min,probability_max
logistic_regression,1,1500,0.342972392,0.058,0.247822597,0.377908239
logistic_regression,2,1500,0.392293892,0.064666667,0.377953414,0.404635371
logistic_regression,3,1500,0.41547693,0.066,0.404637346,0.426469161
logistic_regression,4,1499,0.440991726,0.078052035,0.426532025,0.456851796
logistic_regression,5,1500,0.471626572,0.103333333,0.456860413,0.484247218
logistic_regression,6,1500,0.494749218,0.12,0.484296928,0.505400889
logistic_regression,7,1499,0.516891777,0.134756504,0.505403759,0.528942785
logistic_regression,8,1500,0.545155285,0.124666667,0.528964288,0.563833497
logistic_regression,9,1500,0.586484375,0.161333333,0.563845656,0.610264041
logistic_regression,10,1500,0.652350208,0.206666667,0.610287144,0.805932826
deployed_xgboost,1,1500,0.243997074,0.062,0.052186925,0.307548404
deployed_xgboost,2,1500,0.342237353,0.074666667,0.307589442,0.369361252
deployed_xgboost,3,1500,0.389003372,0.072,0.369376361,0.406270653
deployed_xgboost,4,1499,0.421585887,0.081387592,0.406279743,0.436005235
deployed_xgboost,5,1500,0.44867309,0.093333333,0.436013848,0.461446375
deployed_xgboost,6,1500,0.474037305,0.119333333,0.461446643,0.486647636
deployed_xgboost,7,1499,0.499920658,0.125416945,0.486673832,0.514735401
deployed_xgboost,8,1500,0.530192994,0.141333333,0.514761806,0.547029495
deployed_xgboost,9,1500,0.567783315,0.148666667,0.547039747,0.591991305
deployed_xgboost,10,1500,0.639850037,0.199333333,0.592000306,0.840415001
tuned_xgboost,1,1500,0.297173864,0.064666667,0.112532862,0.349535525
tuned_xgboost,2,1500,0.376300862,0.059333333,0.349605262,0.398427993
tuned_xgboost,3,1500,0.414828371,0.076,0.398437381,0.429496914
tuned_xgboost,4,1499,0.441513033,0.078719146,0.429533899,0.453024536
tuned_xgboost,5,1500,0.464503118,0.101333333,0.453040183,0.475734115
tuned_xgboost,6,1500,0.48725077,0.112666667,0.47575891,0.498964965
tuned_xgboost,7,1499,0.511561662,0.130753836,0.498984307,0.524103165
tuned_xgboost,8,1500,0.536954678,0.124,0.524117947,0.551825643
tuned_xgboost,9,1500,0.573335407,0.154666667,0.551840365,0.597553611
tuned_xgboost,10,1500,0.637809129,0.215333333,0.597557783,0.828308463
