country,n,positives,prevalence,selection_rate,false_positive_rate,false_negative_rate,precision,brier_score,recall
Cote d'Ivoire,1300,173,0.133077,0.525385,0.505768,0.346821,0.165447,0.223434,0.653179
Ethiopia,1029,98,0.095238,0.180758,0.177229,0.785714,0.112903,0.170169,0.214286
Ghana,1380,158,0.114493,0.407971,0.396072,0.5,0.14032,0.21794,0.5
Kenya,1568,194,0.123724,0.578444,0.554585,0.252577,0.159868,0.240349,0.747423
Mozambique,993,99,0.099698,0.39577,0.38255,0.484848,0.129771,0.202935,0.515152
Nigeria,1487,230,0.154674,0.897108,0.893397,0.082609,0.158171,0.308411,0.917391
Rwanda,926,52,0.056156,0.063715,0.065217,0.961538,0.033898,0.133034,0.038462
Senegal,1220,118,0.096721,0.416393,0.401996,0.449153,0.127953,0.21426,0.550847
South Africa,1659,211,0.127185,0.598553,0.569751,0.203791,0.169184,0.246183,0.796209
Tanzania,1200,103,0.085833,0.366667,0.350046,0.456311,0.127273,0.204314,0.543689
Uganda,1128,126,0.111702,0.411348,0.404192,0.531746,0.127155,0.21548,0.468254
Zambia,1108,114,0.102888,0.409747,0.394366,0.45614,0.136564,0.2114,0.54386
