permutation,test_pr_auc
1,0.128943625
2,0.118451907
3,0.11291533
4,0.109624087
5,0.11508548
6,0.11865476
7,0.122883723
8,0.118590049
9,0.111833214
10,0.109023727
11,0.097087741
12,0.114573508
13,0.103893157
14,0.131762006
15,0.119747962
16,0.117628744
17,0.124076548
18,0.1175973
19,0.108697904
20,0.103022333
21,0.113065341
22,0.097668842
23,0.093106309
24,0.095159838
25,0.125390902
26,0.111179375
27,0.097718382
28,0.131780716
29,0.119083741
30,0.127947252
31,0.11561208
32,0.11429481
33,0.097889367
34,0.125353647
35,0.113967846
36,0.112364423
37,0.115040007
38,0.116707067
39,0.118182019
40,0.12890318
41,0.112112997
42,0.103896302
43,0.119823404
44,0.111703241
45,0.105848293
46,0.132872893
47,0.102377103
48,0.098989148
49,0.100140078
50,0.106624112
51,0.10905513
52,0.102727126
53,0.128565421
54,0.104173765
55,0.103975579
56,0.103398428
57,0.109168128
58,0.127325411
59,0.113564992
60,0.122684751
61,0.12485916
62,0.109196719
63,0.114219081
64,0.124361677
65,0.104633942
66,0.122833142
67,0.107953451
68,0.104551252
69,0.119416975
70,0.111106131
71,0.12115204
72,0.095255275
73,0.114904636
74,0.119402389
75,0.095792767
76,0.129286144
77,0.1164205
78,0.116983115
79,0.119047674
80,0.115097999
81,0.103481103
82,0.126842564
83,0.109438512
84,0.110992676
85,0.117267737
86,0.120908319
87,0.114422146
88,0.114210795
89,0.111186373
90,0.1111744
91,0.117744472
92,0.123565834
93,0.112582557
94,0.105983933
95,0.103439237
96,0.10232275
97,0.114281979
98,0.116552914
99,0.109464352
100,0.110529795
