trial,validation_pr_auc,validation_threshold,elapsed_seconds,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,scale_pos_weight
1,0.145796725,0.51,1.476107,400,7,0.025,2,0.8,1.0,5.0,9.006008206
2,0.157056922,0.5,1.015357,350,5,0.025,1,0.9,0.75,1.0,7.204806565
3,0.138939255,0.5,1.158018,350,6,0.1,4,0.8,1.0,5.0,9.006008206
4,0.156946945,0.54,0.841442,250,5,0.03387,1,0.75,1.0,1.0,9.006008206
5,0.15945741,0.56,0.869043,400,3,0.03387,4,1.0,0.8,1.0,9.006008206
6,0.160685229,0.53,0.962195,400,3,0.025,2,0.8,0.75,1.0,7.204806565
7,0.160342021,0.59,0.615233,200,3,0.025,6,0.8,0.75,0.5,10.807209848
8,0.149807045,0.58,0.96642,250,7,0.025,2,1.0,0.9,5.0,10.807209848
9,0.15343311,0.54,1.017928,300,6,0.03387,4,0.8,0.8,1.0,9.006008206
10,0.154625731,0.5,0.885699,300,4,0.075,4,0.65,0.8,0.5,7.204806565
11,0.159833557,0.61,0.85914,400,3,0.03387,6,1.0,0.8,2.0,10.807209848
12,0.144411887,0.46,1.077445,300,7,0.05,2,0.9,0.65,1.0,7.204806565
13,0.157120427,0.62,0.501326,150,3,0.025,2,1.0,0.65,2.0,10.807209848
14,0.159639633,0.57,0.536384,150,3,0.025,1,0.75,0.65,2.0,9.006008206
15,0.158934021,0.51,0.572061,200,3,0.025,1,1.0,0.75,1.0,7.204806565
16,0.155539793,0.54,0.587954,150,5,0.075,6,0.9,1.0,2.0,9.006008206
17,0.134752327,0.26,1.415887,400,7,0.1,2,0.8,0.8,0.5,5.403604924
18,0.159421625,0.44,0.880208,350,3,0.05,2,0.75,0.75,1.0,5.403604924
19,0.152959472,0.52,1.006166,250,7,0.025,6,0.8,0.75,10.0,9.006008206
20,0.159752986,0.57,0.571649,150,4,0.025,2,0.75,0.75,1.0,9.006008206
21,0.148633053,0.42,1.401517,400,7,0.025,4,0.9,0.9,2.0,5.403604924
22,0.150997001,0.43,0.663603,150,6,0.1,4,0.65,0.75,5.0,5.403604924
23,0.143206427,0.5,1.089746,300,7,0.05,2,0.9,0.75,2.0,9.006008206
24,0.143803652,0.53,1.449438,400,7,0.05,6,0.75,0.75,10.0,9.006008206
