model,ablation,dropped_features,threshold,prevalence,selection_rate,precision,recall,f1,roc_auc,pr_auc,pr_auc_lift,brier_score,pr_auc_ci_95,delta_pr_auc_ci_95,delta_pr_auc_vs_full,lift_retained_fraction
logistic_regression,full,,0.54,0.111748,0.262902,0.173218,0.407518,0.243104,0.627901,0.171142,0.059394,0.239227,"[0.15946, 0.184635]","[0.0, 0.0]",0.0,1.0
logistic_regression,without_country,country,0.51,0.111748,0.37545,0.15983,0.536993,0.246339,0.623877,0.171546,0.059798,0.240142,"[0.159785, 0.185856]","[-0.005747, 0.006745]",0.000404,1.006802
logistic_regression,without_vehicle_age,vehicle_age,0.53,0.111748,0.290905,0.166628,0.433771,0.240768,0.627314,0.170321,0.058573,0.239319,"[0.15852, 0.183808]","[-0.002388, 0.000704]",-0.000821,0.986177
logistic_regression,without_country_and_vehicle_age,"country, vehicle_age",0.52,0.111748,0.333111,0.164732,0.49105,0.246703,0.620941,0.170469,0.05872,0.240471,"[0.158452, 0.184691]","[-0.007506, 0.006388]",-0.000673,0.988652
logistic_regression,without_country_and_market_frequency,"country, claim_frequency_per_1000_policies",0.47,0.111748,0.630951,0.121526,0.686158,0.206482,0.545825,0.133185,0.021436,0.247256,"[0.124664, 0.144001]","[-0.048171, -0.02796]",-0.037957,0.360912
logistic_regression,strict_claim_features,"country, claim_frequency_per_1000_policies, vehicle_age",0.48,0.111748,0.517202,0.123888,0.573389,0.203753,0.541585,0.132072,0.020323,0.247361,"[0.123733, 0.142765]","[-0.049278, -0.028639]",-0.03907,0.342173
xgboost,full,,0.47,0.111748,0.465662,0.147766,0.615752,0.238337,0.614826,0.164694,0.052946,0.221282,"[0.153453, 0.177296]","[0.0, 0.0]",0.0,1.0
xgboost,without_country,country,0.5,0.111748,0.377517,0.154009,0.520286,0.237667,0.612623,0.165719,0.053971,0.224616,"[0.153983, 0.179667]","[-0.005648, 0.007875]",0.001025,1.019359
xgboost,without_vehicle_age,vehicle_age,0.47,0.111748,0.470996,0.146234,0.616348,0.236384,0.608698,0.163496,0.051748,0.221649,"[0.152006, 0.176809]","[-0.005987, 0.003604]",-0.001198,0.977373
xgboost,without_country_and_vehicle_age,"country, vehicle_age",0.49,0.111748,0.421723,0.145296,0.548329,0.229721,0.604026,0.158232,0.046484,0.226102,"[0.147513, 0.171023]","[-0.013327, 0.000518]",-0.006462,0.877951
xgboost,without_country_and_market_frequency,"country, claim_frequency_per_1000_policies",0.23,0.111748,0.999267,0.111697,0.998807,0.200924,0.545202,0.133997,0.022249,0.238477,"[0.125375, 0.1453]","[-0.040422, -0.021345]",-0.030697,0.420221
xgboost,strict_claim_features,"country, claim_frequency_per_1000_policies, vehicle_age",0.46,0.111748,0.629751,0.116993,0.659308,0.198723,0.536397,0.129043,0.017295,0.239303,"[0.120675, 0.139122]","[-0.045594, -0.025813]",-0.035651,0.326654
